Time (s),Orientation - Pitch (°),Orientation - Roll (°),Orientation - Yaw (°)
0.00,1.76,-0.09,-1.09
0.14,1.74,-0.09,-1.11
0.32,1.74,-0.08,-1.12
0.46,1.75,-0.09,-1.10
0.62,1.74,-0.08,-1.08
0.79,13.72,0.14,-1.12
0.94,54.17,-0.11,-0.51
1.10,37.49,0.46,-1.28
1.26,39.96,1.05,-2.52
1.42,45.66,0.44,-1.42
1.57,44.06,-0.21,-1.89
1.73,43.28,-0.24,-0.63
1.89,41.44,0.06,-1.07
2.05,31.30,-0.13,-1.11
2.20,13.69,-0.24,-0.93
2.36,2.44,-0.47,-0.24
2.52,59.49,1.67,4.26
2.69,103.81,5.57,11.54
2.83,44.52,7.34,15.50
2.99,6.22,6.95,-7.61
3.15,14.99,1.31,-17.26
3.32,19.85,-2.76,-4.78
3.47,11.37,-3.94,13.30
3.63,2.63,-2.50,10.02
3.79,-0.68,-0.86,-8.54
3.95,3.88,-1.32,-14.71
4.12,6.89,-3.29,-0.90
4.26,7.47,-4.26,10.25
4.43,4.44,-3.36,4.83
4.59,3.63,-2.26,-6.67
4.75,3.96,-67.32,-1.59
4.89,40.14,-89.62,3.58
5.06,42.08,-90.38,2.94
5.22,36.51,-90.04,-2.14
5.38,43.23,-90.36,-2.60
5.53,42.57,-90.51,-1.51
5.69,48.81,-90.82,-1.34
5.85,-7.96,-90.81,0.09
6.00,-52.57,-91.20,4.11
6.16,-52.33,-92.38,4.68
6.33,-47.50,-91.56,1.74
6.48,-39.29,-90.51,-3.35
6.64,-21.76,-90.23,-7.49
6.79,-8.70,-89.46,-1.71
6.95,0.83,-89.05,8.26
7.12,1.79,-88.72,6.85
7.26,6.29,-88.69,7.15
7.42,6.27,-88.38,4.56
7.58,8.62,-88.34,4.25
7.74,7.32,-88.48,5.12
7.90,7.06,-88.45,4.72
8.05,7.16,-88.45,4.77
8.21,7.23,-88.46,4.65
8.39,7.21,-88.45,4.71
8.53,7.21,-88.46,4.69
8.69,7.21,-88.46,4.66
8.84,7.25,-88.46,4.66
9.00,7.22,-88.46,4.66
9.16,7.25,-88.46,4.66
9.32,7.22,-88.46,4.65