Time (s),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s)
0.00,0.00,-0.05,0.05
0.14,0.00,-0.05,0.05
0.32,0.00,-0.04,0.04
0.46,0.00,-0.05,0.05
0.62,0.00,-0.04,0.04
0.79,-0.01,35.17,35.17
0.94,0.21,16.60,16.60
1.10,0.12,23.14,23.14
1.26,-0.50,61.03,61.04
1.42,0.00,69.23,69.23
1.57,1.49,81.99,82.00
1.73,0.56,116.00,116.00
1.89,0.30,103.85,103.85
2.05,1.03,103.10,103.10
2.20,0.63,120.72,120.72
2.36,1.08,124.69,124.70
2.52,-20.53,147.91,149.33
2.69,16.47,-46.37,49.21
2.83,9.68,-20.03,22.24
2.99,0.16,5.04,5.04
3.15,-0.20,3.07,3.07
3.32,-2.64,-4.63,5.33
3.47,-0.66,-5.46,5.50
3.63,-0.01,-2.28,2.28
3.79,-0.18,0.57,0.60
3.95,0.04,1.38,1.38
4.12,-0.60,0.85,1.04
4.26,-0.12,-0.82,0.83
4.43,0.28,-0.06,0.29
4.59,0.13,-0.38,0.41
4.75,3.82,1.52,4.11
4.89,38.02,0.39,38.02
5.06,16.35,-1.06,16.38
5.22,57.89,-1.39,57.91
5.38,69.42,-1.86,69.45
5.53,84.60,-1.28,84.61
5.69,76.32,-2.06,76.35
5.85,44.20,-0.87,44.21
6.00,52.43,-4.64,52.63
6.16,66.74,-4.93,66.92
6.33,39.37,-0.02,39.37
6.48,32.24,1.80,32.29
6.64,26.28,0.56,26.28
6.79,14.25,-0.44,14.26
6.95,6.94,0.11,6.94
7.12,3.92,0.08,3.92
7.26,2.43,0.10,2.43
7.42,0.90,-0.07,0.90
7.58,-0.14,-0.05,0.15
7.74,-0.13,0.01,0.13
7.90,0.35,-0.02,0.35
8.05,0.20,0.01,0.20
8.21,0.18,0.01,0.18
8.39,0.19,0.00,0.19
8.53,0.15,0.01,0.15
8.69,0.13,0.01,0.13
8.84,0.13,0.00,0.13
9.00,0.11,0.01,0.12
9.16,0.11,0.00,0.11
9.32,0.10,0.00,0.10